Actual Clear Date Time,Beginning Latitude,Beginning Longitude,Closure Duration,Closure Involved Flag,Command Area District Identifier,Create Date Time,Direction,Ending Latitude,Ending Longitude,Event Duration,Event From Mile Point Number,Event Identifier,Event Planned Flag,Event Sub Type Name,Event To Milepoint Number,Highway Name,Is Re Opened Flag,LRM End Point,LRM,Last Close Date Time,Number of Records,Original Close Date Time,Planned Event End Date,Planned Event Start Date,Recovery Begin Time,Road Identifier,Roadway Clearance Duration,Route Number,Travel Lanes Affected Count,Weekday
11/6/2016 1:33:15 PM,45.57935,-122.11921,,False,2C,11/6/2016 1:30:13 PM,WB,,,182,31.3,16T088069,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,11/6/2016 1:33:15 PM,1,11/6/2016 1:33:15 PM,,,,2,,I-84,,Sunday
11/6/2016 12:06:11 PM,45.57935,-122.11921,,False,2C,11/6/2016 12:05:13 PM,WB,,,58,31.3,16T088048,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,11/6/2016 12:06:11 PM,1,11/6/2016 12:06:11 PM,,,,2,,I-84,,Sunday
10/23/2016 12:24:22 PM,45.57935,-122.11921,,False,2C,10/23/2016 12:22:45 PM,WB,,,97,31.3,16T083784,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,10/23/2016 12:24:22 PM,1,10/23/2016 12:24:22 PM,,,,2,,I-84,,Sunday
9/25/2016 4:17:51 PM,45.57935,-122.11921,,False,2C,9/25/2016 4:16:39 PM,WB,,,73,31.3,16T074287,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,9/25/2016 4:17:52 PM,1,9/25/2016 4:17:52 PM,,,,2,,I-84,,Sunday
9/25/2016 11:51:47 AM,45.57935,-122.11921,,False,2C,9/25/2016 11:49:39 AM,WB,,,128,31.3,16T074238,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,9/25/2016 11:51:47 AM,1,9/25/2016 11:51:47 AM,,,,2,,I-84,,Sunday
9/18/2016 2:38:50 PM,45.57935,-122.11921,,False,2C,9/18/2016 1:00:40 PM,WB,,,5890,31.3,16T072141,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,9/18/2016 2:38:50 PM,1,9/18/2016 2:38:50 PM,,,,2,,I-84,,Sunday
9/11/2016 12:04:19 PM,45.57935,-122.11921,,False,2C,9/11/2016 12:02:45 PM,WB,,,94,31.3,16T069969,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,9/11/2016 12:04:19 PM,1,9/11/2016 12:04:19 PM,,,,2,,I-84,,Sunday
9/4/2016 1:25:24 PM,45.57935,-122.11921,,False,2C,9/4/2016 1:24:33 PM,WB,,,51,31.3,16T068071,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,9/4/2016 1:25:24 PM,1,9/4/2016 1:25:24 PM,,,,2,,I-84,,Sunday
8/28/2016 2:26:32 PM,45.57935,-122.11921,,False,2C,8/28/2016 2:23:34 PM,WB,,,179,31.3,16T066096,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/28/2016 2:26:33 PM,1,8/28/2016 2:26:33 PM,,,,2,,I-84,,Sunday
8/28/2016 11:20:59 AM,45.57935,-122.11921,,False,2C,8/28/2016 11:17:33 AM,WB,,,206,31.3,16T066055,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/28/2016 11:20:59 AM,1,8/28/2016 11:20:59 AM,,,,2,,I-84,,Sunday
