Actual Clear Date Time,Beginning Latitude,Beginning Longitude,Closure Duration,Closure Involved Flag,Command Area District Identifier,Create Date Time,Direction,Ending Latitude,Ending Longitude,Event Duration,Event From Mile Point Number,Event Identifier,Event Planned Flag,Event Sub Type Name,Event To Milepoint Number,Highway Name,Is Re Opened Flag,LRM End Point,LRM,Last Close Date Time,Number of Records,Original Close Date Time,Planned Event End Date,Planned Event Start Date,Recovery Begin Time,Road Identifier,Roadway Clearance Duration,Route Number,Travel Lanes Affected Count,Weekday
8/27/2018 10:37:05 PM,45.57935,-122.11921,,False,2C,8/12/2018 3:57:33 PM,WB,,,328,31.3,18T067193,False,ITS Device Failure,,COLUMBIA RIVER,True,,00200D00,8/27/2018 10:37:05 PM,1,8/12/2018 4:03:01 PM,,,,2,,I-84,,Sunday
5/13/2018 5:43:46 PM,45.57935,-122.11921,,False,2C,5/13/2018 2:29:15 PM,WB,,,1382,31.3,18T037525,False,Damaged ODOT Property,,COLUMBIA RIVER,True,,00200D00,5/13/2018 5:43:46 PM,1,5/13/2018 2:52:17 PM,,,,2,,I-84,,Sunday
11/18/2018 11:28:05 AM,45.57935,-122.11921,,False,2C,11/18/2018 11:25:32 AM,WB,,,153,31.3,18T098241,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,11/18/2018 11:28:05 AM,1,11/18/2018 11:28:05 AM,,,,2,,I-84,,Sunday
11/4/2018 11:16:21 AM,45.57935,-122.11921,,False,2C,11/4/2018 10:51:30 AM,WB,,,1491,31.3,18T093819,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,11/4/2018 11:16:21 AM,1,11/4/2018 11:16:21 AM,,,,2,,I-84,,Sunday
10/14/2018 11:58:35 AM,45.57935,-122.11921,,False,2C,10/14/2018 11:38:27 AM,WB,,,1208,31.3,18T086768,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,10/14/2018 11:58:35 AM,1,10/14/2018 11:58:35 AM,,,,2,,I-84,,Sunday
10/7/2018 3:02:12 PM,45.57935,-122.11921,,False,2C,10/7/2018 3:01:21 PM,WB,,,51,31.3,18T084719,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,10/7/2018 3:02:12 PM,1,10/7/2018 3:02:12 PM,,,,2,,I-84,,Sunday
10/7/2018 2:38:39 PM,45.57935,-122.11921,,False,2C,10/7/2018 2:38:21 PM,WB,,,18,31.3,18T084712,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,10/7/2018 2:38:39 PM,1,10/7/2018 2:38:39 PM,,,,2,,I-84,,Sunday
10/7/2018 2:34:50 PM,45.57935,-122.11921,,False,2C,10/7/2018 2:34:21 PM,WB,,,29,31.3,18T084709,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,10/7/2018 2:34:50 PM,1,10/7/2018 2:34:50 PM,,,,2,,I-84,,Sunday
10/7/2018 1:44:16 PM,45.57935,-122.11921,,False,2C,10/7/2018 1:43:21 PM,WB,,,55,31.3,18T084691,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,10/7/2018 1:44:16 PM,1,10/7/2018 1:44:16 PM,,,,2,,I-84,,Sunday
10/7/2018 12:27:32 PM,45.57935,-122.11921,,False,2C,10/7/2018 12:27:21 PM,WB,,,11,31.3,18T084666,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,10/7/2018 12:27:32 PM,1,10/7/2018 12:27:32 PM,,,,2,,I-84,,Sunday
