starttime,milepost,speed
00:00:00,1.96,63.18
00:00:00,3.55,66.45
00:00:00,5.39,67.07
00:00:00,6.88,60.64
00:00:00,7.6,58.93
00:00:00,8.8,60.09
00:00:00,9.45,62.54
00:00:00,10.27,60.00
00:00:00,11.05,55.20
00:00:00,12.94,61.11
00:00:00,13.58,61.60
00:00:00,14.32,53.97
00:00:00,16.2,60.14
00:00:00,18.1,60.99
00:00:00,19.4,61.25
00:00:00,19.78,61.41
00:00:00,21.12,62.44
00:00:00,21.68,64.30
00:00:00,23.27,66.89
00:00:00,23.41,60.80
00:05:00,1.96,63.12
00:05:00,3.55,65.97
00:05:00,5.39,66.55
00:05:00,6.88,60.42
00:05:00,7.6,58.46
00:05:00,8.8,60.29
00:05:00,9.45,62.07
00:05:00,10.27,60.22
00:05:00,11.05,54.68
00:05:00,12.94,60.64
00:05:00,13.58,60.98
00:05:00,14.32,54.31
00:05:00,16.2,60.27
00:05:00,18.1,60.60
00:05:00,19.4,60.74
00:05:00,19.78,61.57
00:05:00,21.12,62.43
00:05:00,21.68,62.54
00:05:00,23.27,66.68
00:05:00,23.41,60.75
00:10:00,1.96,63.56
00:10:00,3.55,66.61
00:10:00,5.39,66.81
00:10:00,6.88,59.94
00:10:00,7.6,58.43
00:10:00,8.8,60.69
00:10:00,9.45,62.31
00:10:00,10.27,60.25
00:10:00,11.05,54.43
00:10:00,12.94,61.09
00:10:00,13.58,60.84
00:10:00,14.32,55.35
00:10:00,16.2,60.04
00:10:00,18.1,60.48
00:10:00,19.4,61.16
00:10:00,19.78,61.53
00:10:00,21.12,62.35
00:10:00,21.68,61.61
00:10:00,23.27,66.86
00:10:00,23.41,61.00
00:15:00,1.96,63.13
00:15:00,3.55,65.82
00:15:00,5.39,66.47
00:15:00,6.88,60.46
00:15:00,7.6,59.08
00:15:00,8.8,59.56
00:15:00,9.45,62.64
00:15:00,10.27,60.08
00:15:00,11.05,54.44
00:15:00,12.94,60.88
00:15:00,13.58,61.33
00:15:00,14.32,54.13
00:15:00,16.2,60.04
00:15:00,18.1,60.45
00:15:00,19.4,61.07
00:15:00,19.78,61.45
00:15:00,21.12,62.20
00:15:00,21.68,62.53
00:15:00,23.27,66.59
00:15:00,23.41,60.60
00:20:00,1.96,63.37
00:20:00,3.55,66.05
00:20:00,5.39,66.57
00:20:00,6.88,60.13
00:20:00,7.6,59.10
00:20:00,8.8,59.83
00:20:00,9.45,62.54
00:20:00,10.27,59.50
00:20:00,11.05,54.33
00:20:00,12.94,60.87
00:20:00,13.58,60.94
00:20:00,14.32,54.20
00:20:00,16.2,60.16
00:20:00,18.1,60.56
00:20:00,19.4,61.18
00:20:00,19.78,61.37
00:20:00,21.12,62.55
00:20:00,21.68,63.87
00:20:00,23.27,66.76
00:20:00,23.41,61.05
00:25:00,1.96,62.72
00:25:00,3.55,65.89
00:25:00,5.39,66.80
00:25:00,6.88,60.81
00:25:00,7.6,58.86
00:25:00,8.8,60.24
00:25:00,9.45,62.74
00:25:00,10.27,60.40
00:25:00,11.05,54.73
00:25:00,12.94,61.13
00:25:00,13.58,60.49
00:25:00,14.32,52.81
00:25:00,16.2,60.19
00:25:00,18.1,60.75
00:25:00,19.4,61.23
00:25:00,19.78,61.32
00:25:00,21.12,62.35
00:25:00,21.68,62.93
00:25:00,23.27,66.78
00:25:00,23.41,60.67
00:30:00,1.96,63.37
00:30:00,3.55,65.83
00:30:00,5.39,66.57
00:30:00,6.88,60.56
00:30:00,7.6,58.77
00:30:00,8.8,60.65
00:30:00,9.45,62.85
00:30:00,10.27,59.88
00:30:00,11.05,55.03
00:30:00,12.94,61.31
00:30:00,13.58,61.45
00:30:00,14.32,51.57
00:30:00,16.2,59.98
00:30:00,18.1,60.23
00:30:00,19.4,61.21
00:30:00,19.78,61.11
00:30:00,21.12,62.84
00:30:00,21.68,63.39
00:30:00,23.27,67.12
00:30:00,23.41,60.48
00:35:00,1.96,63.12
00:35:00,3.55,65.87
00:35:00,5.39,66.38
00:35:00,6.88,60.71
00:35:00,7.6,58.27
00:35:00,8.8,60.05
00:35:00,9.45,62.73
00:35:00,10.27,60.13
00:35:00,11.05,55.21
00:35:00,12.94,61.05
00:35:00,13.58,60.76
00:35:00,14.32,51.60
00:35:00,16.2,59.83
00:35:00,18.1,60.69
00:35:00,19.4,60.72
00:35:00,19.78,61.60
00:35:00,21.12,62.39
00:35:00,21.68,62.60
00:35:00,23.27,67.10
00:35:00,23.41,60.60
00:40:00,1.96,63.08
00:40:00,3.55,65.30
00:40:00,5.39,66.24
00:40:00,6.88,60.63
00:40:00,7.6,58.25
00:40:00,8.8,59.96
00:40:00,9.45,61.92
00:40:00,10.27,59.39
00:40:00,11.05,55.20
00:40:00,12.94,60.86
00:40:00,13.58,60.80
00:40:00,14.32,52.36
00:40:00,16.2,60.13
00:40:00,18.1,60.49
00:40:00,19.4,61.26
00:40:00,19.78,61.97
00:40:00,21.12,62.29
00:40:00,21.68,62.99
00:40:00,23.27,66.77
00:40:00,23.41,60.75
00:45:00,1.96,62.58
00:45:00,3.55,65.72
00:45:00,5.39,66.17
00:45:00,6.88,60.18
00:45:00,7.6,58.32
00:45:00,8.8,59.27
00:45:00,9.45,61.58
00:45:00,10.27,59.94
00:45:00,11.05,55.27
00:45:00,12.94,60.83
00:45:00,13.58,60.72
00:45:00,14.32,51.73
00:45:00,16.2,59.71
00:45:00,18.1,60.48
00:45:00,19.4,61.28
00:45:00,19.78,61.04
00:45:00,21.12,62.27
00:45:00,21.68,63.55
00:45:00,23.27,66.85
00:45:00,23.41,60.68
00:50:00,1.96,62.99
00:50:00,3.55,65.30
00:50:00,5.39,66.27
00:50:00,6.88,60.68
00:50:00,7.6,58.36
00:50:00,8.8,60.26
00:50:00,9.45,62.19
00:50:00,10.27,59.50
00:50:00,11.05,55.09
00:50:00,12.94,60.50
00:50:00,13.58,61.06
00:50:00,14.32,50.57
00:50:00,16.2,59.68
00:50:00,18.1,60.17
00:50:00,19.4,60.75
00:50:00,19.78,60.99
00:50:00,21.12,62.47
00:50:00,21.68,63.23
00:50:00,23.27,67.00
00:50:00,23.41,60.94
00:55:00,1.96,62.20
00:55:00,3.55,65.58
00:55:00,5.39,65.51
00:55:00,6.88,60.52
00:55:00,7.6,58.30
00:55:00,8.8,59.43
00:55:00,9.45,61.78
00:55:00,10.27,59.38
00:55:00,11.05,55.27
00:55:00,12.94,60.96
00:55:00,13.58,61.37
00:55:00,14.32,50.05
00:55:00,16.2,59.63
00:55:00,18.1,59.99
00:55:00,19.4,60.83
00:55:00,19.78,61.58
00:55:00,21.12,62.48
00:55:00,21.68,62.34
00:55:00,23.27,67.25
00:55:00,23.41,60.57
01:00:00,1.96,63.07
01:00:00,3.55,65.24
01:00:00,5.39,66.42
01:00:00,6.88,60.32
01:00:00,7.6,59.40
01:00:00,8.8,60.36
01:00:00,9.45,62.36
01:00:00,10.27,59.18
01:00:00,11.05,55.51
01:00:00,12.94,60.27
01:00:00,13.58,60.78
01:00:00,14.32,49.58
01:00:00,16.2,59.06
01:00:00,18.1,60.54
01:00:00,19.4,61.07
01:00:00,19.78,61.32
01:00:00,21.12,62.46
01:00:00,21.68,62.43
01:00:00,23.27,67.30
01:00:00,23.41,60.88
01:05:00,1.96,62.00
01:05:00,3.55,65.41
01:05:00,5.39,66.35
01:05:00,6.88,60.33
01:05:00,7.6,58.56
01:05:00,8.8,59.58
01:05:00,9.45,61.71
01:05:00,10.27,59.58
01:05:00,11.05,55.06
01:05:00,12.94,61.04
01:05:00,13.58,60.52
01:05:00,14.32,49.92
01:05:00,16.2,59.84
01:05:00,18.1,59.83
01:05:00,19.4,61.57
01:05:00,19.78,61.45
01:05:00,21.12,62.79
01:05:00,21.68,62.39
01:05:00,23.27,68.21
01:05:00,23.41,60.60
01:10:00,1.96,63.17
01:10:00,3.55,66.33
01:10:00,5.39,66.40
01:10:00,6.88,60.68
01:10:00,7.6,58.50
01:10:00,8.8,59.91
01:10:00,9.45,62.26
01:10:00,10.27,60.20
01:10:00,11.05,55.03
01:10:00,12.94,61.47
01:10:00,13.58,62.17
01:10:00,14.32,49.85
01:10:00,16.2,59.60
01:10:00,18.1,61.25
01:10:00,19.4,61.04
01:10:00,19.78,61.98
01:10:00,21.12,63.00
01:10:00,21.68,61.48
01:10:00,23.27,68.25
01:10:00,23.41,60.55
01:15:00,1.96,62.17
01:15:00,3.55,66.03
01:15:00,5.39,66.80
01:15:00,6.88,59.64
01:15:00,7.6,58.51
01:15:00,8.8,59.93
01:15:00,9.45,61.50
01:15:00,10.27,59.81
01:15:00,11.05,54.90
01:15:00,12.94,60.61
01:15:00,13.58,60.03
01:15:00,14.32,49.18
01:15:00,16.2,59.94
01:15:00,18.1,60.71
01:15:00,19.4,61.50
01:15:00,19.78,61.85
01:15:00,21.12,62.12
01:15:00,21.68,61.56
01:15:00,23.27,68.15
01:15:00,23.41,61.24
01:20:00,1.96,61.91
01:20:00,3.55,65.22
01:20:00,5.39,65.88
01:20:00,6.88,60.93
01:20:00,7.6,58.95
01:20:00,8.8,61.07
01:20:00,9.45,62.63
01:20:00,10.27,58.96
01:20:00,11.05,55.03
01:20:00,12.94,60.95
01:20:00,13.58,60.44
01:20:00,14.32,50.12
01:20:00,16.2,59.42
01:20:00,18.1,60.16
01:20:00,19.4,61.24
01:20:00,19.78,61.77
01:20:00,21.12,62.96
01:20:00,21.68,61.81
01:20:00,23.27,67.90
01:20:00,23.41,61.18
01:25:00,1.96,62.77
01:25:00,3.55,65.81
01:25:00,5.39,66.63
01:25:00,6.88,60.99
01:25:00,7.6,58.67
01:25:00,8.8,60.07
01:25:00,9.45,62.30
01:25:00,10.27,60.19
01:25:00,11.05,55.25
01:25:00,12.94,60.78
01:25:00,13.58,60.16
01:25:00,14.32,49.23
01:25:00,16.2,59.65
01:25:00,18.1,61.14
01:25:00,19.4,61.28
01:25:00,19.78,61.66
01:25:00,21.12,62.30
01:25:00,21.68,61.09
01:25:00,23.27,68.13
01:25:00,23.41,61.17
01:30:00,1.96,62.81
01:30:00,3.55,66.16
01:30:00,5.39,66.33
01:30:00,6.88,60.56
01:30:00,7.6,58.22
01:30:00,8.8,60.03
01:30:00,9.45,62.05
01:30:00,10.27,60.59
01:30:00,11.05,55.22
01:30:00,12.94,60.76
01:30:00,13.58,59.26
01:30:00,14.32,49.03
01:30:00,16.2,59.95
01:30:00,18.1,61.75
01:30:00,19.4,60.93
01:30:00,19.78,61.18
01:30:00,21.12,62.48
01:30:00,21.68,61.90
01:30:00,23.27,68.39
01:30:00,23.41,61.22
01:35:00,1.96,63.12
01:35:00,3.55,65.22
01:35:00,5.39,66.77
01:35:00,6.88,61.03
01:35:00,7.6,57.31
01:35:00,8.8,59.93
01:35:00,9.45,62.27
01:35:00,10.27,60.06
01:35:00,11.05,55.58
01:35:00,12.94,60.62
01:35:00,13.58,60.75
01:35:00,14.32,49.92
01:35:00,16.2,59.96
01:35:00,18.1,60.42
01:35:00,19.4,61.30
01:35:00,19.78,61.54
01:35:00,21.12,62.27
01:35:00,21.68,62.74
01:35:00,23.27,68.14
01:35:00,23.41,61.17
01:40:00,1.96,63.47
01:40:00,3.55,65.89
01:40:00,5.39,66.01
01:40:00,6.88,60.43
01:40:00,7.6,57.94
01:40:00,8.8,60.08
01:40:00,9.45,61.74
01:40:00,10.27,59.42
01:40:00,11.05,55.75
01:40:00,12.94,60.42
01:40:00,13.58,59.91
01:40:00,14.32,50.34
01:40:00,16.2,60.13
