starttime,milepost,speed
00:00:00,0.45,55.00
00:00:00,1.21,59.40
00:00:00,1.82,60.15
00:00:00,2.1,55.27
00:00:00,2.4,51.82
00:00:00,3.36,62.42
00:00:00,3.43,59.46
00:00:00,4.25,62.95
00:00:00,4.9,63.04
00:00:00,5.03,61.52
00:00:00,5.7,52.40
00:00:00,5.82,65.94
00:00:00,6.7,57.93
00:00:00,10.04,63.18
00:00:00,11.47,66.95
00:00:00,12.16,63.70
00:00:00,13.04,66.53
00:00:00,14.4,69.24
00:00:00,15.17,64.09
00:00:00,15.94,66.57
00:00:00,16.9,62.11
00:05:00,0.45,55.28
00:05:00,1.21,59.41
00:05:00,1.82,59.84
00:05:00,2.1,55.21
00:05:00,2.4,50.25
00:05:00,3.36,62.29
00:05:00,3.43,59.51
00:05:00,4.25,62.94
00:05:00,4.9,63.43
00:05:00,5.03,61.43
00:05:00,5.7,52.97
00:05:00,5.82,66.14
00:05:00,6.7,57.68
00:05:00,10.04,63.42
00:05:00,11.47,67.28
00:05:00,12.16,64.08
00:05:00,13.04,66.46
00:05:00,14.4,68.88
00:05:00,15.17,64.30
00:05:00,15.94,66.76
00:05:00,16.9,62.10
00:10:00,0.45,55.43
00:10:00,1.21,59.40
00:10:00,1.82,60.09
00:10:00,2.1,54.64
00:10:00,2.4,51.48
00:10:00,3.36,62.49
00:10:00,3.43,59.79
00:10:00,4.25,62.98
00:10:00,4.9,63.43
00:10:00,5.03,61.80
00:10:00,5.7,51.87
00:10:00,5.82,65.39
00:10:00,6.7,57.65
00:10:00,10.04,63.24
00:10:00,11.47,67.67
00:10:00,12.16,64.23
00:10:00,13.04,66.60
00:10:00,14.4,69.42
00:10:00,15.17,65.30
00:10:00,15.94,66.52
00:10:00,16.9,61.30
00:15:00,0.45,55.14
00:15:00,1.21,59.50
00:15:00,1.82,60.04
00:15:00,2.1,55.29
00:15:00,2.4,51.41
00:15:00,3.36,62.61
00:15:00,3.43,60.44
00:15:00,4.25,63.39
00:15:00,4.9,62.92
00:15:00,5.03,61.80
00:15:00,5.7,53.96
