starttime,milepost,speed
00:00:00,0.0,46.04
00:00:00,58.8,61.95
00:00:00,61.05,61.76
00:00:00,61.25,66.18
00:00:00,62.47,68.37
00:00:00,62.8,66.59
00:00:00,64.29,61.37
00:00:00,64.34,60.14
00:00:00,65.9,56.81
00:00:00,67.4,61.95
00:00:00,68.55,59.98
00:00:00,69.31,61.36
00:00:00,70.9,57.01
00:00:00,71.37,58.93
00:00:00,72.17,57.97
00:00:00,72.21,57.02
00:00:00,73.17,60.22
00:05:00,0.0,45.45
00:05:00,58.8,60.35
00:05:00,61.05,61.85
00:05:00,61.25,68.44
00:05:00,62.47,67.59
00:05:00,62.8,66.98
00:05:00,64.29,60.70
00:05:00,64.34,60.34
00:05:00,65.9,57.24
00:05:00,67.4,62.15
00:05:00,68.55,59.58
00:05:00,69.31,60.82
00:05:00,70.9,57.10
00:05:00,71.37,58.95
00:05:00,72.17,57.99
00:05:00,72.21,56.75
00:05:00,73.17,60.04
00:10:00,0.0,45.74
00:10:00,58.8,62.51
00:10:00,61.05,61.48
00:10:00,61.25,68.98
00:10:00,62.47,68.74
00:10:00,62.8,66.65
00:10:00,64.29,60.91
00:10:00,64.34,60.39
00:10:00,65.9,57.25
00:10:00,67.4,60.93
00:10:00,68.55,59.80
00:10:00,69.31,61.06
00:10:00,70.9,57.71
00:10:00,71.37,59.21
00:10:00,72.17,58.18
00:10:00,72.21,56.70
00:10:00,73.17,60.31
00:15:00,0.0,45.83
00:15:00,58.8,60.73
00:15:00,61.05,61.36
00:15:00,61.25,67.07
00:15:00,62.47,68.24
00:15:00,62.8,66.31
00:15:00,64.29,59.93
00:15:00,64.34,61.18
00:15:00,65.9,55.10
00:15:00,67.4,61.32
00:15:00,68.55,59.45
00:15:00,69.31,60.75
00:15:00,70.9,57.54
00:15:00,71.37,58.62
00:15:00,72.17,58.17
00:15:00,72.21,57.08
00:15:00,73.17,60.39
00:20:00,0.0,45.68
00:20:00,58.8,61.89
00:20:00,61.05,62.30
00:20:00,61.25,67.52
00:20:00,62.47,68.88
00:20:00,62.8,65.02
00:20:00,64.29,60.42
00:20:00,64.34,60.87
00:20:00,65.9,56.79
00:20:00,67.4,61.45
00:20:00,68.55,59.94
00:20:00,69.31,60.86
00:20:00,70.9,57.13
00:20:00,71.37,58.75
00:20:00,72.17,58.14
00:20:00,72.21,56.93
00:20:00,73.17,60.36
00:25:00,0.0,45.89
00:25:00,58.8,63.37
00:25:00,61.05,61.41
00:25:00,61.25,67.87
00:25:00,62.47,68.28
00:25:00,62.8,66.92
00:25:00,64.29,61.50
00:25:00,64.34,61.35
00:25:00,65.9,57.06
00:25:00,67.4,61.44
00:25:00,68.55,59.93
00:25:00,69.31,60.90
00:25:00,70.9,57.17
00:25:00,71.37,58.81
00:25:00,72.17,57.86
00:25:00,72.21,56.45
00:25:00,73.17,59.93
00:30:00,0.0,46.10
00:30:00,58.8,63.31
00:30:00,61.05,61.54
00:30:00,61.25,67.17
00:30:00,62.47,67.48
00:30:00,62.8,65.79
00:30:00,64.29,61.01
00:30:00,64.34,60.54
00:30:00,65.9,57.59
00:30:00,67.4,61.82
00:30:00,68.55,60.00
00:30:00,69.31,60.73
00:30:00,70.9,57.46
00:30:00,71.37,58.80
00:30:00,72.17,58.00
00:30:00,72.21,57.12
00:30:00,73.17,59.99
00:35:00,0.0,46.21
00:35:00,58.8,61.45
00:35:00,61.05,60.96
00:35:00,61.25,67.52
00:35:00,62.47,68.33
00:35:00,62.8,66.11
00:35:00,64.29,61.18
00:35:00,64.34,60.07
00:35:00,65.9,56.97
00:35:00,67.4,61.76
00:35:00,68.55,60.44
00:35:00,69.31,60.98
00:35:00,70.9,56.99
00:35:00,71.37,58.47
00:35:00,72.17,58.32
00:35:00,72.21,57.26
00:35:00,73.17,60.43
00:40:00,0.0,45.43
00:40:00,58.8,60.92
00:40:00,61.05,61.54
00:40:00,61.25,65.05
00:40:00,62.47,68.32
00:40:00,62.8,66.40
00:40:00,64.29,60.10
00:40:00,64.34,60.30
00:40:00,65.9,57.01
00:40:00,67.4,61.44
00:40:00,68.55,59.77
00:40:00,69.31,60.39
00:40:00,70.9,56.77
00:40:00,71.37,58.89
00:40:00,72.17,57.78
00:40:00,72.21,56.67
00:40:00,73.17,59.63
00:45:00,0.0,46.20
00:45:00,58.8,63.38
00:45:00,61.05,61.40
00:45:00,61.25,67.43
00:45:00,62.47,66.75
00:45:00,62.8,66.51
00:45:00,64.29,61.84
00:45:00,64.34,59.68
00:45:00,65.9,56.85
00:45:00,67.4,60.53
00:45:00,68.55,59.83
00:45:00,69.31,60.62
00:45:00,70.9,56.56
00:45:00,71.37,58.55
00:45:00,72.17,57.77
00:45:00,72.21,56.24
00:45:00,73.17,59.99
00:50:00,0.0,45.83
00:50:00,58.8,61.44
00:50:00,61.05,61.30
00:50:00,61.25,67.85
00:50:00,62.47,69.09
00:50:00,62.8,67.32
00:50:00,64.29,60.98
00:50:00,64.34,60.74
00:50:00,65.9,55.80
00:50:00,67.4,60.96
00:50:00,68.55,59.37
00:50:00,69.31,60.77
00:50:00,70.9,56.26
00:50:00,71.37,59.11
00:50:00,72.17,57.66
00:50:00,72.21,56.55
00:50:00,73.17,59.83
00:55:00,0.0,46.14
00:55:00,58.8,59.84
00:55:00,61.05,60.87
00:55:00,61.25,67.27
00:55:00,62.47,68.58
00:55:00,62.8,65.74
00:55:00,64.29,61.72
00:55:00,64.34,59.61
00:55:00,65.9,57.84
00:55:00,67.4,61.79
00:55:00,68.55,59.17
00:55:00,69.31,60.84
00:55:00,70.9,56.87
00:55:00,71.37,58.51
00:55:00,72.17,57.90
00:55:00,72.21,57.12
00:55:00,73.17,59.67
01:00:00,0.0,46.08
01:00:00,58.8,60.72
01:00:00,61.05,60.64
01:00:00,61.25,65.48
01:00:00,62.47,68.38
01:00:00,62.8,65.83
01:00:00,64.29,60.21
01:00:00,64.34,59.67
01:00:00,65.9,55.89
01:00:00,67.4,61.54
01:00:00,68.55,59.46
01:00:00,69.31,60.48
01:00:00,70.9,56.94
01:00:00,71.37,58.31
01:00:00,72.17,57.93
01:00:00,72.21,56.62
01:00:00,73.17,60.23
01:05:00,0.0,46.64
01:05:00,58.8,61.57
01:05:00,61.05,61.56
01:05:00,61.25,68.37
01:05:00,62.47,67.50
01:05:00,62.8,66.74
01:05:00,64.29,60.14
01:05:00,64.34,60.56
01:05:00,65.9,56.96
01:05:00,67.4,61.51
01:05:00,68.55,59.27
01:05:00,69.31,60.67
01:05:00,70.9,57.09
01:05:00,71.37,58.97
01:05:00,72.17,57.85
01:05:00,72.21,56.59
01:05:00,73.17,61.04
01:10:00,0.0,45.99
01:10:00,58.8,62.08
01:10:00,61.05,61.55
01:10:00,61.25,66.37
01:10:00,62.47,67.29
01:10:00,62.8,64.45
01:10:00,64.29,61.43
01:10:00,64.34,61.26
01:10:00,65.9,55.72
01:10:00,67.4,61.96
01:10:00,68.55,60.07
01:10:00,69.31,60.32
01:10:00,70.9,56.53
01:10:00,71.37,58.35
01:10:00,72.17,57.87
01:10:00,72.21,56.19
01:10:00,73.17,60.21
01:15:00,0.0,46.17
01:15:00,58.8,60.48
01:15:00,61.05,60.10
01:15:00,61.25,66.55
01:15:00,62.47,67.93
01:15:00,62.8,65.76
01:15:00,64.29,61.16
01:15:00,64.34,60.95
01:15:00,65.9,56.31
