starttime,milepost,speed
00:00:00,0.0,45.69
00:00:00,58.8,59.49
00:00:00,61.05,62.60
00:00:00,61.25,65.76
00:00:00,62.47,61.49
00:00:00,64.34,58.94
00:00:00,65.9,58.20
00:00:00,67.4,60.16
00:00:00,68.55,58.62
00:00:00,69.31,59.59
00:00:00,70.9,57.27
00:00:00,71.37,57.15
00:00:00,72.17,58.90
00:00:00,72.21,54.87
00:00:00,73.17,60.23
00:05:00,0.0,45.51
00:05:00,58.8,60.66
00:05:00,61.05,62.20
00:05:00,61.25,65.98
00:05:00,62.47,59.62
00:05:00,64.34,58.86
00:05:00,65.9,57.57
00:05:00,67.4,60.64
00:05:00,68.55,58.43
00:05:00,69.31,59.99
00:05:00,70.9,57.76
00:05:00,71.37,57.35
00:05:00,72.17,58.79
00:05:00,72.21,54.60
00:05:00,73.17,60.40
00:10:00,0.0,45.80
00:10:00,58.8,61.59
00:10:00,61.05,61.79
00:10:00,61.25,66.55
00:10:00,62.47,62.06
00:10:00,64.34,58.38
00:10:00,65.9,58.00
00:10:00,67.4,60.31
00:10:00,68.55,58.06
00:10:00,69.31,60.02
00:10:00,70.9,57.71
00:10:00,71.37,57.08
00:10:00,72.17,58.97
00:10:00,72.21,54.76
00:10:00,73.17,60.37
00:15:00,0.0,45.72
00:15:00,58.8,60.18
00:15:00,61.05,61.79
00:15:00,61.25,66.52
00:15:00,62.47,61.01
00:15:00,64.34,59.33
00:15:00,65.9,57.72
00:15:00,67.4,60.15
00:15:00,68.55,58.50
00:15:00,69.31,59.98
00:15:00,70.9,57.84
00:15:00,71.37,57.55
00:15:00,72.17,59.01
00:15:00,72.21,54.89
00:15:00,73.17,60.56
00:20:00,0.0,46.20
00:20:00,58.8,59.37
00:20:00,61.05,61.93
00:20:00,61.25,66.33
00:20:00,62.47,61.71
00:20:00,64.34,59.22
00:20:00,65.9,58.03
00:20:00,67.4,60.64
00:20:00,68.55,58.50
00:20:00,69.31,59.66
00:20:00,70.9,57.41
00:20:00,71.37,57.15
00:20:00,72.17,58.65
00:20:00,72.21,54.85
00:20:00,73.17,60.18
00:25:00,0.0,45.37
00:25:00,58.8,60.61
00:25:00,61.05,61.56
00:25:00,61.25,66.36
00:25:00,62.47,62.93
00:25:00,64.34,58.39
00:25:00,65.9,58.08
00:25:00,67.4,59.95
00:25:00,68.55,58.42
00:25:00,69.31,59.69
00:25:00,70.9,57.59
00:25:00,71.37,57.10
00:25:00,72.17,58.46
00:25:00,72.21,55.19
00:25:00,73.17,60.09
00:30:00,0.0,45.37
00:30:00,58.8,59.34
00:30:00,61.05,62.21
00:30:00,61.25,66.49
00:30:00,62.47,59.70
00:30:00,64.34,58.91
00:30:00,65.9,57.69
00:30:00,67.4,60.25
00:30:00,68.55,58.20
00:30:00,69.31,59.70
00:30:00,70.9,57.41
00:30:00,71.37,57.15
00:30:00,72.17,58.73
00:30:00,72.21,54.91
00:30:00,73.17,60.42
00:35:00,0.0,45.54
00:35:00,58.8,61.66
00:35:00,61.05,62.41
00:35:00,61.25,65.28
00:35:00,62.47,60.79
00:35:00,64.34,58.44
00:35:00,65.9,57.58
00:35:00,67.4,59.65
00:35:00,68.55,57.75
00:35:00,69.31,59.64
00:35:00,70.9,57.82
00:35:00,71.37,56.84
00:35:00,72.17,59.02
00:35:00,72.21,54.83
00:35:00,73.17,60.59
00:40:00,0.0,45.73
00:40:00,58.8,60.29
00:40:00,61.05,63.41
00:40:00,61.25,65.10
00:40:00,62.47,59.39
00:40:00,64.34,58.24
00:40:00,65.9,56.98
00:40:00,67.4,59.41
00:40:00,68.55,57.96
00:40:00,69.31,59.71
00:40:00,70.9,57.44
00:40:00,71.37,56.88
00:40:00,72.17,58.69
00:40:00,72.21,54.24
00:40:00,73.17,60.13
00:45:00,0.0,45.72
00:45:00,58.8,57.92
00:45:00,61.05,61.22
00:45:00,61.25,66.35
00:45:00,62.47,62.54
00:45:00,64.34,58.59
00:45:00,65.9,57.87
00:45:00,67.4,59.83
00:45:00,68.55,58.41
00:45:00,69.31,60.20
00:45:00,70.9,57.42
00:45:00,71.37,57.01
00:45:00,72.17,58.85
00:45:00,72.21,54.83
00:45:00,73.17,60.38
00:50:00,0.0,45.98
00:50:00,58.8,60.30
00:50:00,61.05,61.50
00:50:00,61.25,66.45
00:50:00,62.47,60.54
00:50:00,64.34,58.34
00:50:00,65.9,56.89
00:50:00,67.4,58.47
00:50:00,68.55,57.70
00:50:00,69.31,59.92
00:50:00,70.9,57.29
00:50:00,71.37,56.80
00:50:00,72.17,58.77
00:50:00,72.21,54.94
00:50:00,73.17,60.73
00:55:00,0.0,45.59
00:55:00,58.8,59.20
00:55:00,61.05,62.19
00:55:00,61.25,65.30
00:55:00,62.47,61.65
00:55:00,64.34,58.14
00:55:00,65.9,58.33
00:55:00,67.4,59.25
00:55:00,68.55,58.16
00:55:00,69.31,59.89
00:55:00,70.9,56.60
00:55:00,71.37,56.24
00:55:00,72.17,58.37
00:55:00,72.21,54.76
