starttime,milepost,speed
00:00:00,3.55,64.71
00:00:00,6.88,60.23
00:00:00,8.8,59.90
00:00:00,9.45,61.85
00:00:00,10.27,59.08
00:00:00,11.05,59.57
00:00:00,12.94,60.77
00:00:00,13.58,62.67
00:00:00,14.32,60.02
00:00:00,16.2,61.20
00:00:00,18.1,60.91
00:00:00,19.4,60.57
00:00:00,19.78,61.82
00:00:00,21.12,62.35
00:00:00,23.41,60.92
00:05:00,3.55,64.40
00:05:00,6.88,61.35
00:05:00,8.8,59.74
00:05:00,9.45,61.75
00:05:00,10.27,61.27
00:05:00,11.05,59.93
00:05:00,12.94,61.07
00:05:00,13.58,62.10
00:05:00,14.32,60.01
00:05:00,16.2,61.20
00:05:00,18.1,60.03
00:05:00,19.4,60.48
00:05:00,19.78,61.13
00:05:00,21.12,62.63
00:05:00,23.41,61.50
00:10:00,3.55,64.49
00:10:00,6.88,60.42
00:10:00,8.8,59.85
00:10:00,9.45,62.17
00:10:00,10.27,59.04
00:10:00,11.05,60.16
00:10:00,12.94,60.81
00:10:00,13.58,62.88
00:10:00,14.32,60.25
00:10:00,16.2,61.66
00:10:00,18.1,60.44
00:10:00,19.4,60.37
00:10:00,19.78,61.13
00:10:00,21.12,62.81
00:10:00,23.41,61.04
00:15:00,3.55,64.95
00:15:00,6.88,60.97
00:15:00,8.8,59.66
00:15:00,9.45,62.14
00:15:00,10.27,59.54
00:15:00,11.05,60.03
00:15:00,12.94,60.46
00:15:00,13.58,62.47
00:15:00,14.32,59.82
00:15:00,16.2,61.52
00:15:00,18.1,60.85
00:15:00,19.4,60.40
00:15:00,19.78,60.96
00:15:00,21.12,62.44
00:15:00,23.41,61.06
00:20:00,3.55,64.64
00:20:00,6.88,60.58
00:20:00,8.8,59.93
00:20:00,9.45,61.51
00:20:00,10.27,60.79
00:20:00,11.05,59.91
00:20:00,12.94,61.10
00:20:00,13.58,63.45
00:20:00,14.32,60.57
00:20:00,16.2,60.95
00:20:00,18.1,60.32
00:20:00,19.4,59.93
00:20:00,19.78,60.65
00:20:00,21.12,62.66
00:20:00,23.41,61.13
00:25:00,3.55,64.09
00:25:00,6.88,60.90
00:25:00,8.8,59.97
00:25:00,9.45,62.23
00:25:00,10.27,60.25
00:25:00,11.05,59.73
00:25:00,12.94,60.54
00:25:00,13.58,63.39
00:25:00,14.32,60.04
00:25:00,16.2,62.05
00:25:00,18.1,60.73
00:25:00,19.4,60.39
00:25:00,19.78,61.90
00:25:00,21.12,62.56
00:25:00,23.41,61.10
00:30:00,3.55,64.73
00:30:00,6.88,60.33
00:30:00,8.8,59.94
00:30:00,9.45,61.97
00:30:00,10.27,59.35
00:30:00,11.05,59.86
00:30:00,12.94,60.53
00:30:00,13.58,62.67
00:30:00,14.32,59.86
00:30:00,16.2,60.73
00:30:00,18.1,60.55
00:30:00,19.4,60.34
00:30:00,19.78,61.12
00:30:00,21.12,62.39
00:30:00,23.41,61.33
00:35:00,3.55,64.69
