starttime,milepost,speed
00:00:00,1.96,62.89
00:00:00,3.55,64.98
00:00:00,5.39,66.68
00:00:00,6.88,60.33
00:00:00,7.6,58.20
00:00:00,8.8,60.08
00:00:00,9.03,62.92
00:00:00,9.45,62.49
00:00:00,10.27,60.08
00:00:00,11.05,57.14
00:00:00,12.94,61.25
00:00:00,13.58,61.02
00:00:00,14.32,52.03
00:00:00,14.56,66.38
00:00:00,15.09,42.10
00:00:00,16.2,59.60
00:00:00,18.1,59.09
00:00:00,19.4,61.51
00:00:00,19.78,60.80
00:00:00,21.12,63.02
00:00:00,21.68,63.29
00:00:00,23.27,68.79
00:00:00,23.41,61.51
00:05:00,1.96,62.62
00:05:00,3.55,65.37
00:05:00,5.39,66.62
00:05:00,6.88,60.61
00:05:00,7.6,57.75
00:05:00,8.8,59.95
00:05:00,9.03,63.08
00:05:00,9.45,62.32
00:05:00,10.27,59.46
00:05:00,11.05,56.36
00:05:00,12.94,60.24
00:05:00,13.58,60.32
00:05:00,14.32,52.75
00:05:00,14.56,66.15
00:05:00,15.09,39.85
00:05:00,16.2,59.81
00:05:00,18.1,59.37
00:05:00,19.4,61.72
00:05:00,19.78,60.84
00:05:00,21.12,62.66
00:05:00,21.68,62.89
00:05:00,23.27,68.84
00:05:00,23.41,61.25
00:10:00,1.96,62.39
00:10:00,3.55,65.10
00:10:00,5.39,66.15
00:10:00,6.88,59.51
00:10:00,7.6,58.38
00:10:00,8.8,60.52
00:10:00,9.03,65.25
00:10:00,9.45,63.04
00:10:00,10.27,61.07
00:10:00,11.05,56.09
00:10:00,12.94,60.04
00:10:00,13.58,60.36
00:10:00,14.32,51.88
00:10:00,14.56,64.52
00:10:00,15.09,44.07
00:10:00,16.2,59.72
00:10:00,18.1,59.56
00:10:00,19.4,61.92
00:10:00,19.78,61.41
00:10:00,21.12,62.43
00:10:00,21.68,64.14
00:10:00,23.27,68.78
00:10:00,23.41,61.38
00:15:00,1.96,62.34
00:15:00,3.55,65.11
00:15:00,5.39,66.12
00:15:00,6.88,60.31
00:15:00,7.6,58.22
00:15:00,8.8,59.74
00:15:00,9.03,59.00
00:15:00,9.45,61.97
00:15:00,10.27,59.70
00:15:00,11.05,55.56
00:15:00,12.94,61.14
00:15:00,13.58,61.28
00:15:00,14.32,51.40
00:15:00,14.56,64.66
00:15:00,15.09,43.98
00:15:00,16.2,60.01
00:15:00,18.1,59.83
00:15:00,19.4,61.86
00:15:00,19.78,61.32
00:15:00,21.12,62.97
00:15:00,21.68,63.52
00:15:00,23.27,68.73
00:15:00,23.41,61.31
00:20:00,1.96,62.46
00:20:00,3.55,64.79
00:20:00,5.39,66.10
00:20:00,6.88,59.95
00:20:00,7.6,58.23
00:20:00,8.8,60.14
00:20:00,9.03,61.38
00:20:00,9.45,62.52
00:20:00,10.27,59.96
00:20:00,11.05,55.37
00:20:00,12.94,60.81
00:20:00,13.58,60.79
00:20:00,14.32,51.29
00:20:00,14.56,65.65
00:20:00,15.09,46.61
00:20:00,16.2,60.13
00:20:00,18.1,59.21
00:20:00,19.4,61.76
00:20:00,19.78,61.03
00:20:00,21.12,63.51
00:20:00,21.68,63.53
00:20:00,23.27,69.12
00:20:00,23.41,61.04
00:25:00,1.96,62.37
00:25:00,3.55,64.97
00:25:00,5.39,66.22
00:25:00,6.88,59.85
00:25:00,7.6,58.17
00:25:00,8.8,59.91
00:25:00,9.03,61.33
00:25:00,9.45,62.30
00:25:00,10.27,60.03
00:25:00,11.05,55.16
00:25:00,12.94,60.54
00:25:00,13.58,61.13
00:25:00,14.32,50.57
00:25:00,14.56,66.73
00:25:00,15.09,48.15
00:25:00,16.2,59.41
00:25:00,18.1,59.98
00:25:00,19.4,61.88
00:25:00,19.78,61.45
00:25:00,21.12,63.03
00:25:00,21.68,63.06
00:25:00,23.27,69.00
00:25:00,23.41,61.00
00:30:00,1.96,62.85
00:30:00,3.55,65.02
00:30:00,5.39,65.93
00:30:00,6.88,60.59
00:30:00,7.6,58.35
00:30:00,8.8,60.28
00:30:00,9.03,53.14
00:30:00,9.45,62.56
00:30:00,10.27,60.37
00:30:00,11.05,56.02
00:30:00,12.94,61.14
00:30:00,13.58,61.03
00:30:00,14.32,50.85
00:30:00,14.56,66.74
00:30:00,15.09,49.41
00:30:00,16.2,59.60
00:30:00,18.1,59.68
00:30:00,19.4,61.81
00:30:00,19.78,61.04
00:30:00,21.12,63.17
00:30:00,21.68,63.58
00:30:00,23.27,68.90
00:30:00,23.41,61.19
00:35:00,1.96,62.69
00:35:00,3.55,65.50
00:35:00,5.39,66.51
00:35:00,6.88,60.33
00:35:00,7.6,58.31
00:35:00,8.8,59.97
00:35:00,9.03,58.79
00:35:00,9.45,62.10
00:35:00,10.27,59.49
00:35:00,11.05,55.19
00:35:00,12.94,60.55
00:35:00,13.58,60.98
00:35:00,14.32,49.86
00:35:00,14.56,67.44
00:35:00,15.09,43.52
00:35:00,16.2,59.96
00:35:00,18.1,59.04
00:35:00,19.4,61.14
00:35:00,19.78,61.48
00:35:00,21.12,63.03
00:35:00,21.68,63.70
00:35:00,23.27,69.28
00:35:00,23.41,60.86
00:40:00,1.96,62.34
00:40:00,3.55,64.66
00:40:00,5.39,66.23
00:40:00,6.88,60.39
00:40:00,7.6,58.18
00:40:00,8.8,59.86
00:40:00,9.03,54.67
00:40:00,9.45,61.91
00:40:00,10.27,60.22
00:40:00,11.05,55.77
00:40:00,12.94,61.31
00:40:00,13.58,60.61
00:40:00,14.32,49.46
00:40:00,14.56,66.57
00:40:00,15.09,44.91
00:40:00,16.2,59.34
00:40:00,18.1,60.60
00:40:00,19.4,61.41
00:40:00,19.78,59.95
00:40:00,21.12,62.77
00:40:00,21.68,63.70
00:40:00,23.27,69.14
00:40:00,23.41,60.91
00:45:00,1.96,62.55
00:45:00,3.55,65.13
00:45:00,5.39,66.15
00:45:00,6.88,59.53
00:45:00,7.6,57.53
00:45:00,8.8,60.07
00:45:00,9.03,59.06
00:45:00,9.45,62.08
00:45:00,10.27,60.24
00:45:00,11.05,55.78
00:45:00,12.94,60.78
00:45:00,13.58,58.81
00:45:00,14.32,50.07
00:45:00,14.56,63.51
00:45:00,15.09,41.70
00:45:00,16.2,58.85
00:45:00,18.1,60.41
00:45:00,19.4,61.41
00:45:00,19.78,61.33
00:45:00,21.12,63.08
00:45:00,21.68,63.85
00:45:00,23.27,68.82
00:45:00,23.41,61.46
00:50:00,1.96,61.72
00:50:00,3.55,64.24
00:50:00,5.39,66.22
00:50:00,6.88,58.30
00:50:00,7.6,58.27
00:50:00,8.8,59.32
00:50:00,9.03,60.29
00:50:00,9.45,62.30
00:50:00,10.27,59.24
00:50:00,11.05,56.19
00:50:00,12.94,60.09
00:50:00,13.58,59.67
00:50:00,14.32,49.54
00:50:00,14.56,66.21
00:50:00,15.09,36.29
00:50:00,16.2,59.32
00:50:00,18.1,59.68
00:50:00,19.4,61.51
00:50:00,19.78,61.40
00:50:00,21.12,63.02
00:50:00,21.68,64.44
00:50:00,23.27,69.11
00:50:00,23.41,61.62
00:55:00,1.96,63.21
00:55:00,3.55,65.84
00:55:00,5.39,66.43
00:55:00,6.88,60.02
00:55:00,7.6,58.09
00:55:00,8.8,59.85
00:55:00,9.03,56.60
00:55:00,9.45,62.12
00:55:00,10.27,60.11
00:55:00,11.05,56.90
00:55:00,12.94,61.45
00:55:00,13.58,59.25
00:55:00,14.32,48.90
00:55:00,14.56,67.78
00:55:00,15.09,42.13
00:55:00,16.2,59.02
00:55:00,18.1,60.37
00:55:00,19.4,62.34
00:55:00,19.78,61.49
00:55:00,21.12,63.02
00:55:00,21.68,64.45
00:55:00,23.27,69.34
00:55:00,23.41,61.92
01:00:00,1.96,62.39
01:00:00,3.55,65.04
01:00:00,5.39,66.71
01:00:00,6.88,61.33
01:00:00,7.6,57.92
01:00:00,8.8,60.05
01:00:00,9.03,60.84
01:00:00,9.45,62.50
01:00:00,10.27,60.18
01:00:00,11.05,56.09
01:00:00,12.94,60.58
01:00:00,13.58,60.54
01:00:00,14.32,48.87
01:00:00,14.56,62.61
01:00:00,15.09,33.81
01:00:00,16.2,59.40
01:00:00,18.1,60.10
01:00:00,19.4,60.92
01:00:00,19.78,61.54
01:00:00,21.12,63.49
01:00:00,21.68,62.92
01:00:00,23.27,69.25
01:00:00,23.41,61.72
