starttime,milepost,speed
00:00:00,0.0,45.58
00:00:00,58.8,60.48
00:00:00,61.05,62.12
00:00:00,61.25,66.74
00:00:00,62.47,67.32
00:00:00,62.8,68.25
00:00:00,64.29,59.86
00:00:00,64.34,59.90
00:00:00,65.9,57.21
00:00:00,67.4,60.57
00:00:00,68.55,58.18
00:00:00,69.31,59.83
00:00:00,70.9,55.69
00:00:00,71.37,57.74
00:00:00,72.17,58.62
00:00:00,72.21,56.76
00:00:00,73.17,60.53
00:05:00,0.0,45.40
00:05:00,58.8,61.29
00:05:00,61.05,62.44
00:05:00,61.25,66.94
00:05:00,62.47,68.10
00:05:00,62.8,65.95
00:05:00,64.29,59.62
00:05:00,64.34,58.89
00:05:00,65.9,55.51
00:05:00,67.4,60.95
00:05:00,68.55,59.04
00:05:00,69.31,60.76
00:05:00,70.9,56.11
00:05:00,71.37,56.99
00:05:00,72.17,58.69
00:05:00,72.21,56.96
00:05:00,73.17,60.52
00:10:00,0.0,45.22
00:10:00,58.8,61.66
00:10:00,61.05,61.99
00:10:00,61.25,67.65
00:10:00,62.47,66.99
00:10:00,62.8,68.62
00:10:00,64.29,60.74
00:10:00,64.34,59.92
00:10:00,65.9,55.66
00:10:00,67.4,60.27
00:10:00,68.55,59.15
00:10:00,69.31,60.41
00:10:00,70.9,56.66
00:10:00,71.37,56.92
00:10:00,72.17,58.71
00:10:00,72.21,56.17
00:10:00,73.17,60.81
00:15:00,0.0,45.33
00:15:00,58.8,61.77
00:15:00,61.05,62.65
00:15:00,61.25,67.47
00:15:00,62.47,67.70
00:15:00,62.8,67.60
00:15:00,64.29,60.48
00:15:00,64.34,58.55
00:15:00,65.9,57.37
00:15:00,67.4,60.67
00:15:00,68.55,59.14
00:15:00,69.31,60.42
00:15:00,70.9,56.27
00:15:00,71.37,56.69
00:15:00,72.17,57.99
00:15:00,72.21,55.64
00:15:00,73.17,60.32
00:20:00,0.0,45.16
00:20:00,58.8,60.72
00:20:00,61.05,62.28
00:20:00,61.25,66.67
00:20:00,62.47,68.35
00:20:00,62.8,67.57
00:20:00,64.29,60.43
00:20:00,64.34,58.63
00:20:00,65.9,56.34
00:20:00,67.4,60.21
00:20:00,68.55,58.97
00:20:00,69.31,60.39
00:20:00,70.9,56.72
00:20:00,71.37,57.70
00:20:00,72.17,58.20
00:20:00,72.21,56.36
00:20:00,73.17,60.61
00:25:00,0.0,45.82
00:25:00,58.8,61.35
00:25:00,61.05,62.25
00:25:00,61.25,66.62
00:25:00,62.47,66.43
00:25:00,62.8,67.47
00:25:00,64.29,60.65
00:25:00,64.34,59.07
00:25:00,65.9,55.91
00:25:00,67.4,61.15
00:25:00,68.55,59.56
00:25:00,69.31,60.60
00:25:00,70.9,56.72
00:25:00,71.37,57.75
00:25:00,72.17,58.93
00:25:00,72.21,56.51
00:25:00,73.17,60.72
00:30:00,0.0,45.37
00:30:00,58.8,62.12
00:30:00,61.05,63.02
00:30:00,61.25,67.03
00:30:00,62.47,67.09
00:30:00,62.8,68.26
00:30:00,64.29,61.25
00:30:00,64.34,57.73
00:30:00,65.9,56.25
00:30:00,67.4,60.93
00:30:00,68.55,59.15
00:30:00,69.31,60.13
00:30:00,70.9,56.65
00:30:00,71.37,57.59
00:30:00,72.17,58.70
00:30:00,72.21,56.63
00:30:00,73.17,60.91
00:35:00,0.0,44.73
00:35:00,58.8,62.67
00:35:00,61.05,62.01
00:35:00,61.25,67.24
00:35:00,62.47,67.15
00:35:00,62.8,64.51
00:35:00,64.29,60.88
00:35:00,64.34,59.39
00:35:00,65.9,54.34
00:35:00,67.4,60.63
00:35:00,68.55,58.73
00:35:00,69.31,59.95
00:35:00,70.9,56.90
00:35:00,71.37,58.25
00:35:00,72.17,58.59
00:35:00,72.21,56.81
00:35:00,73.17,60.61
00:40:00,0.0,45.15
00:40:00,58.8,60.30
00:40:00,61.05,61.71
00:40:00,61.25,66.34
00:40:00,62.47,67.46
00:40:00,62.8,63.41
00:40:00,64.29,59.78
00:40:00,64.34,58.20
00:40:00,65.9,56.07
00:40:00,67.4,60.18
00:40:00,68.55,58.95
00:40:00,69.31,60.61
00:40:00,70.9,56.59
00:40:00,71.37,57.73
