starttime,milepost,speed
00:00:00,58.8,60.73
00:00:00,61.05,62.44
00:00:00,61.25,66.79
00:00:00,62.47,63.09
00:00:00,64.34,59.22
00:00:00,65.9,58.11
00:00:00,67.4,60.88
00:00:00,68.55,58.86
00:00:00,69.31,60.07
00:00:00,70.9,57.65
00:00:00,71.37,57.34
00:00:00,72.17,58.83
00:00:00,72.21,54.90
00:00:00,73.17,60.42
00:05:00,58.8,60.65
00:05:00,61.05,62.21
00:05:00,61.25,66.48
00:05:00,62.47,62.90
00:05:00,64.34,58.65
00:05:00,65.9,58.05
00:05:00,67.4,60.98
00:05:00,68.55,58.51
00:05:00,69.31,60.43
00:05:00,70.9,57.72
00:05:00,71.37,57.09
00:05:00,72.17,58.86
00:05:00,72.21,55.20
00:05:00,73.17,60.50
00:10:00,58.8,59.30
00:10:00,61.05,61.77
00:10:00,61.25,66.48
00:10:00,62.47,61.04
00:10:00,64.34,58.70
00:10:00,65.9,59.37
00:10:00,67.4,60.65
00:10:00,68.55,58.12
00:10:00,69.31,60.10
00:10:00,70.9,57.72
00:10:00,71.37,57.61
00:10:00,72.17,59.33
00:10:00,72.21,55.21
00:10:00,73.17,60.81
00:15:00,58.8,59.04
00:15:00,61.05,62.51
00:15:00,61.25,66.67
00:15:00,62.47,61.79
00:15:00,64.34,59.13
00:15:00,65.9,57.60
00:15:00,67.4,60.56
00:15:00,68.55,58.42
00:15:00,69.31,60.16
00:15:00,70.9,57.64
00:15:00,71.37,57.26
00:15:00,72.17,59.05
00:15:00,72.21,55.34
00:15:00,73.17,60.92
00:20:00,58.8,58.52
00:20:00,61.05,61.80
00:20:00,61.25,66.41
00:20:00,62.47,61.48
00:20:00,64.34,58.61
00:20:00,65.9,56.96
00:20:00,67.4,60.67
00:20:00,68.55,58.14
00:20:00,69.31,60.14
00:20:00,70.9,57.38
00:20:00,71.37,57.30
00:20:00,72.17,59.06
00:20:00,72.21,55.01
00:20:00,73.17,60.93
00:25:00,58.8,60.19
00:25:00,61.05,62.29
00:25:00,61.25,67.02
00:25:00,62.47,61.49
00:25:00,64.34,59.08
00:25:00,65.9,57.39
00:25:00,67.4,60.74
00:25:00,68.55,58.83
00:25:00,69.31,59.87
00:25:00,70.9,57.31
00:25:00,71.37,57.15
00:25:00,72.17,59.14
00:25:00,72.21,55.48
00:25:00,73.17,60.83
00:30:00,58.8,61.17
00:30:00,61.05,62.14
00:30:00,61.25,66.44
00:30:00,62.47,62.38
00:30:00,64.34,58.18
00:30:00,65.9,57.11
00:30:00,67.4,60.40
00:30:00,68.55,58.20
00:30:00,69.31,59.72
00:30:00,70.9,57.70
00:30:00,71.37,57.28
00:30:00,72.17,59.14
00:30:00,72.21,54.93
00:30:00,73.17,60.89
00:35:00,58.8,59.85
00:35:00,61.05,61.96
00:35:00,61.25,66.42
00:35:00,62.47,61.10
00:35:00,64.34,57.62
00:35:00,65.9,57.75
00:35:00,67.4,60.05
00:35:00,68.55,57.30
00:35:00,69.31,59.25
00:35:00,70.9,57.74
00:35:00,71.37,56.97
00:35:00,72.17,58.92
00:35:00,72.21,55.03
00:35:00,73.17,60.73
00:40:00,58.8,60.73
00:40:00,61.05,62.68
00:40:00,61.25,66.45
00:40:00,62.47,62.80
00:40:00,64.34,58.15
00:40:00,65.9,57.26
00:40:00,67.4,60.14
00:40:00,68.55,57.83
00:40:00,69.31,59.71
00:40:00,70.9,57.71
00:40:00,71.37,57.34
00:40:00,72.17,59.08
00:40:00,72.21,55.58
00:40:00,73.17,60.35
00:45:00,58.8,59.83
00:45:00,61.05,61.88
00:45:00,61.25,66.98
00:45:00,62.47,63.10
00:45:00,64.34,58.78
00:45:00,65.9,56.20
00:45:00,67.4,60.12
00:45:00,68.55,57.65
00:45:00,69.31,59.38
00:45:00,70.9,57.15
00:45:00,71.37,56.93
00:45:00,72.17,58.80
00:45:00,72.21,55.02
00:45:00,73.17,60.72
00:50:00,58.8,60.60
00:50:00,61.05,62.22
00:50:00,61.25,65.88
00:50:00,62.47,62.79
00:50:00,64.34,58.14
00:50:00,65.9,58.59
00:50:00,67.4,59.99
00:50:00,68.55,58.25
00:50:00,69.31,59.62
00:50:00,70.9,57.08
00:50:00,71.37,56.89
00:50:00,72.17,59.02
00:50:00,72.21,54.94
00:50:00,73.17,60.67
00:55:00,58.8,61.77
00:55:00,61.05,61.70
00:55:00,61.25,66.77
00:55:00,62.47,63.15
00:55:00,64.34,57.96
00:55:00,65.9,58.45
00:55:00,67.4,59.37
00:55:00,68.55,58.31
00:55:00,69.31,59.80
00:55:00,70.9,57.38
00:55:00,71.37,56.51
00:55:00,72.17,58.57
00:55:00,72.21,54.60
00:55:00,73.17,60.57
01:00:00,58.8,58.62
01:00:00,61.05,62.60
01:00:00,61.25,66.19
01:00:00,62.47,62.23
01:00:00,64.34,58.71
01:00:00,65.9,57.81
01:00:00,67.4,59.22
01:00:00,68.55,57.94
01:00:00,69.31,59.81
01:00:00,70.9,57.34
01:00:00,71.37,56.75
01:00:00,72.17,58.66
01:00:00,72.21,54.59
01:00:00,73.17,60.32
01:05:00,58.8,60.25
01:05:00,61.05,61.03
01:05:00,61.25,67.13
01:05:00,62.47,62.05
01:05:00,64.34,59.23
01:05:00,65.9,57.48
01:05:00,67.4,58.94
01:05:00,68.55,57.85
01:05:00,69.31,59.32
01:05:00,70.9,56.98
01:05:00,71.37,56.44
01:05:00,72.17,58.63
01:05:00,72.21,54.71
01:05:00,73.17,60.92
01:10:00,58.8,61.52
01:10:00,61.05,61.64
01:10:00,61.25,66.65
01:10:00,62.47,63.07
01:10:00,64.34,59.03
01:10:00,65.9,57.96
01:10:00,67.4,59.90
01:10:00,68.55,57.38
01:10:00,69.31,59.83
01:10:00,70.9,57.50
01:10:00,71.37,56.83
01:10:00,72.17,58.93
01:10:00,72.21,55.36
01:10:00,73.17,60.85
01:15:00,58.8,59.42
01:15:00,61.05,62.74
01:15:00,61.25,66.09
01:15:00,62.47,61.12
01:15:00,64.34,57.83
01:15:00,65.9,58.32
01:15:00,67.4,60.04
01:15:00,68.55,58.26
01:15:00,69.31,59.64
01:15:00,70.9,57.10
01:15:00,71.37,56.30
01:15:00,72.17,58.91
01:15:00,72.21,54.77
01:15:00,73.17,60.57
01:20:00,58.8,59.16
01:20:00,61.05,62.03
01:20:00,61.25,66.02
01:20:00,62.47,61.68
01:20:00,64.34,58.17
01:20:00,65.9,55.43
01:20:00,67.4,59.03
01:20:00,68.55,57.76
01:20:00,69.31,59.46
01:20:00,70.9,56.97
01:20:00,71.37,56.26
01:20:00,72.17,58.67
01:20:00,72.21,54.84
01:20:00,73.17,60.41
01:25:00,58.8,59.26
01:25:00,61.05,62.02
01:25:00,61.25,65.88
01:25:00,62.47,62.15
01:25:00,64.34,58.85
01:25:00,65.9,57.33
01:25:00,67.4,59.73
01:25:00,68.55,56.90
01:25:00,69.31,58.58
01:25:00,70.9,56.99
01:25:00,71.37,56.36
01:25:00,72.17,58.75
01:25:00,72.21,55.11
01:25:00,73.17,60.16
01:30:00,58.8,61.61
01:30:00,61.05,61.71
01:30:00,61.25,65.89
01:30:00,62.47,61.61
01:30:00,64.34,58.75
01:30:00,65.9,57.95
01:30:00,67.4,59.00
01:30:00,68.55,57.14
01:30:00,69.31,59.19
01:30:00,70.9,57.03
01:30:00,71.37,56.03
01:30:00,72.17,58.85
01:30:00,72.21,54.53
01:30:00,73.17,60.47
01:35:00,58.8,59.99
01:35:00,61.05,61.43
01:35:00,61.25,65.28
01:35:00,62.47,63.49
01:35:00,64.34,58.21
01:35:00,65.9,57.65
01:35:00,67.4,59.51
01:35:00,68.55,57.51
01:35:00,69.31,59.40
01:35:00,70.9,56.51
01:35:00,71.37,56.27
01:35:00,72.17,58.98
01:35:00,72.21,55.10
01:35:00,73.17,60.68
01:40:00,58.8,60.42
01:40:00,61.05,62.79
01:40:00,61.25,66.03
01:40:00,62.47,63.36
01:40:00,64.34,58.19
01:40:00,65.9,58.37
01:40:00,67.4,59.80
01:40:00,68.55,57.71
01:40:00,69.31,59.64
01:40:00,70.9,56.61
01:40:00,71.37,56.35
01:40:00,72.17,58.73
01:40:00,72.21,54.65
01:40:00,73.17,60.31
01:45:00,58.8,56.80
01:45:00,61.05,61.46
01:45:00,61.25,67.57
01:45:00,62.47,61.98
01:45:00,64.34,58.97
01:45:00,65.9,58.37
01:45:00,67.4,59.86
01:45:00,68.55,57.59
01:45:00,69.31,59.80
01:45:00,70.9,56.71
01:45:00,71.37,56.29
01:45:00,72.17,58.83
01:45:00,72.21,54.49
01:45:00,73.17,60.55
01:50:00,58.8,57.91
01:50:00,61.05,61.70
01:50:00,61.25,65.68
01:50:00,62.47,62.14
01:50:00,64.34,58.11
01:50:00,65.9,57.99
01:50:00,67.4,58.48
01:50:00,68.55,57.42
01:50:00,69.31,59.71
01:50:00,70.9,56.10
01:50:00,71.37,56.02
01:50:00,72.17,58.32
01:50:00,72.21,54.17
01:50:00,73.17,60.49
01:55:00,58.8,58.43
01:55:00,61.05,60.79
01:55:00,61.25,66.46
01:55:00,62.47,62.97
01:55:00,64.34,56.65
01:55:00,65.9,58.59
01:55:00,67.4,59.64
01:55:00,68.55,56.61
01:55:00,69.31,58.95
01:55:00,70.9,56.79
01:55:00,71.37,56.24
01:55:00,72.17,58.57
01:55:00,72.21,54.59
01:55:00,73.17,60.69
02:00:00,58.8,59.66
02:00:00,61.05,62.15
02:00:00,61.25,65.84
02:00:00,62.47,59.84
02:00:00,64.34,58.05
02:00:00,65.9,57.19
02:00:00,67.4,59.78
02:00:00,68.55,57.89
02:00:00,69.31,59.99
02:00:00,70.9,56.88
02:00:00,71.37,56.31
02:00:00,72.17,58.88
02:00:00,72.21,54.55
02:00:00,73.17,60.34
02:05:00,58.8,60.09
02:05:00,61.05,62.67
02:05:00,61.25,67.24
02:05:00,62.47,64.33
02:05:00,64.34,58.35
02:05:00,65.9,58.77
02:05:00,67.4,59.28
02:05:00,68.55,57.65
02:05:00,69.31,60.12
02:05:00,70.9,56.55
02:05:00,71.37,56.49
02:05:00,72.17,59.11
02:05:00,72.21,53.93
02:05:00,73.17,61.15
02:10:00,58.8,60.78
02:10:00,61.05,62.33
02:10:00,61.25,64.68
02:10:00,62.47,66.14
02:10:00,64.34,59.00
02:10:00,65.9,57.82
02:10:00,67.4,60.00
02:10:00,68.55,58.24
02:10:00,69.31,59.69
02:10:00,70.9,56.80
02:10:00,71.37,56.52
02:10:00,72.17,59.05
02:10:00,72.21,55.34
02:10:00,73.17,60.83
02:15:00,58.8,60.74
02:15:00,61.05,62.43
02:15:00,61.25,65.40
02:15:00,62.47,62.36
02:15:00,64.34,57.93
02:15:00,65.9,56.77
02:15:00,67.4,59.37
02:15:00,68.55,56.89
02:15:00,69.31,59.75
02:15:00,70.9,56.81
02:15:00,71.37,56.70
02:15:00,72.17,59.64
02:15:00,72.21,55.32
02:15:00,73.17,61.17
02:20:00,58.8,59.79
02:20:00,61.05,61.98
02:20:00,61.25,65.10
02:20:00,62.47,66.07
02:20:00,64.34,59.44
02:20:00,65.9,57.66
02:20:00,67.4,59.41
02:20:00,68.55,57.06
02:20:00,69.31,59.32
02:20:00,70.9,56.65
02:20:00,71.37,56.50
02:20:00,72.17,59.36
02:20:00,72.21,55.28
02:20:00,73.17,60.83
02:25:00,58.8,59.68
02:25:00,61.05,62.00
02:25:00,61.25,66.09
02:25:00,62.47,60.36
02:25:00,64.34,58.24
02:25:00,65.9,58.25
02:25:00,67.4,60.12
02:25:00,68.55,57.36
02:25:00,69.31,59.19
02:25:00,70.9,56.73
02:25:00,71.37,56.28
02:25:00,72.17,58.48
02:25:00,72.21,54.07
02:25:00,73.17,60.31
02:30:00,58.8,60.36
02:30:00,61.05,61.58
02:30:00,61.25,63.98
02:30:00,62.47,61.13
02:30:00,64.34,58.53
02:30:00,65.9,57.63
02:30:00,67.4,59.19
02:30:00,68.55,57.48
02:30:00,69.31,59.87
02:30:00,70.9,57.43
02:30:00,71.37,56.39
02:30:00,72.17,59.10
02:30:00,72.21,54.64
02:30:00,73.17,60.68
02:35:00,58.8,63.33
02:35:00,61.05,61.84
02:35:00,61.25,65.33
02:35:00,62.47,59.76
02:35:00,64.34,57.83
02:35:00,65.9,56.52
02:35:00,67.4,58.58
02:35:00,68.55,57.60
02:35:00,69.31,60.10
02:35:00,70.9,57.47
02:35:00,71.37,56.92
02:35:00,72.17,59.46
02:35:00,72.21,54.68
02:35:00,73.17,60.88
02:40:00,58.8,58.22
02:40:00,61.05,62.08
02:40:00,61.25,65.02
02:40:00,62.47,58.67
02:40:00,64.34,58.70
02:40:00,65.9,57.75
02:40:00,67.4,60.15
02:40:00,68.55,57.38
02:40:00,69.31,59.83
02:40:00,70.9,57.60
02:40:00,71.37,57.11
02:40:00,72.17,59.25
02:40:00,72.21,54.38
02:40:00,73.17,60.65
02:45:00,58.8,59.93
02:45:00,61.05,61.98
02:45:00,61.25,62.00
02:45:00,62.47,60.88
02:45:00,64.34,57.90
02:45:00,65.9,57.66
02:45:00,67.4,60.02
02:45:00,68.55,57.01
02:45:00,69.31,59.95
02:45:00,70.9,56.36
02:45:00,71.37,55.87
02:45:00,72.17,59.07
02:45:00,72.21,54.34
02:45:00,73.17,60.84
02:50:00,58.8,61.05
02:50:00,61.05,61.24
02:50:00,61.25,64.74
02:50:00,62.47,59.80
02:50:00,64.34,57.66
02:50:00,65.9,56.34
02:50:00,67.4,59.10
02:50:00,68.55,57.33
02:50:00,69.31,59.57
02:50:00,70.9,56.38
02:50:00,71.37,56.43
02:50:00,72.17,59.00
02:50:00,72.21,54.43
02:50:00,73.17,60.99
02:55:00,58.8,58.94
02:55:00,61.05,61.15
02:55:00,61.25,66.86
02:55:00,62.47,62.86
02:55:00,64.34,58.21
02:55:00,65.9,55.74
02:55:00,67.4,60.24
02:55:00,68.55,57.04
02:55:00,69.31,59.46
02:55:00,70.9,56.69
02:55:00,71.37,56.70
02:55:00,72.17,59.53
02:55:00,72.21,54.66
02:55:00,73.17,61.25
03:00:00,58.8,62.26
03:00:00,61.05,62.23
03:00:00,61.25,66.28
03:00:00,62.47,55.30
03:00:00,64.34,57.46
03:00:00,65.9,55.34
03:00:00,67.4,59.31
03:00:00,68.55,57.26
03:00:00,69.31,60.09
03:00:00,70.9,56.56
