starttime,resolution,detector_id,speed,volume,occupancy,countreadings,delay,traveltime,vht,vmt
2018-05-26T00:00:00-07:00,00:05:00,101187,63.4,5,0.33,15,-0.05,0.93,0.08,4.9
2018-05-26T00:00:00-07:00,00:05:00,101186,60.28,18,2.2,15,0.0,0.98,0.29,17.64
2018-05-26T00:00:00-07:00,00:05:00,101185,71.0,6,0.27,15,-0.13,0.73,0.07,5.19
2018-05-26T00:00:00-07:00,00:05:00,101184,65.38,24,2.07,15,-0.07,0.79,0.32,20.76
2018-05-26T00:00:00-07:00,00:05:00,101183,65.5,6,0.67,15,-0.07,0.79,0.08,5.19
2018-05-26T00:00:00-07:00,00:05:00,101182,76.14,7,0.47,15,-0.16,0.59,0.07,5.29
2018-05-26T00:00:00-07:00,00:05:00,101181,64.68,28,1.87,15,-0.05,0.7,0.33,21.14
2018-05-26T00:00:00-07:00,00:05:00,101180,63.4,20,2.2,15,-0.04,0.71,0.24,15.1
2018-05-26T00:00:00-07:00,00:05:00,101179,71.0,6,0.4,15,-0.11,0.59,0.06,4.17
2018-05-26T00:00:00-07:00,00:05:00,101178,69.32,28,3.07,15,-0.09,0.6,0.28,19.46
2018-05-26T00:00:00-07:00,00:05:00,101177,63.88,17,2.6,15,-0.04,0.65,0.18,11.82
2018-05-26T00:00:00-07:00,00:05:00,101176,68.33,9,0.67,15,-0.14,0.98,0.15,10.08
2018-05-26T00:00:00-07:00,00:05:00,101175,64.89,27,2.53,15,-0.08,1.04,0.47,30.24
2018-05-26T00:00:00-07:00,00:05:00,101174,63.29,14,1.13,15,-0.06,1.06,0.25,15.68
2018-05-26T00:00:00-07:00,00:05:00,101173,67.0,9,0.6,15,-0.08,0.7,0.11,7.07
2018-05-26T00:00:00-07:00,00:05:00,101172,62.63,38,3.27,15,-0.03,0.75,0.48,29.83
2018-05-26T00:00:00-07:00,00:05:00,101171,60.5,18,2.07,15,-0.01,0.78,0.23,14.13
2018-05-26T00:00:00-07:00,00:05:00,101170,71.0,10,0.67,15,-0.16,0.9,0.15,10.6
2018-05-26T00:00:00-07:00,00:05:00,101169,66.09,44,4.67,15,-0.1,0.96,0.71,46.64
2018-05-26T00:00:00-07:00,00:05:00,101168,63.67,12,1.27,15,-0.06,1.0,0.2,12.72
2018-05-26T00:00:00-07:00,00:05:00,101167,64.93,14,0.93,15,-0.18,2.2,0.51,33.39
2018-05-26T00:00:00-07:00,00:05:00,101166,61.98,45,4.73,15,-0.08,2.31,1.73,107.33
2018-05-26T00:00:00-07:00,00:05:00,101165,62.3,10,1.07,15,-0.09,2.3,0.38,23.85
2018-05-26T00:00:00-07:00,00:05:00,101164,65.13,8,0.53,15,-0.17,1.94,0.26,16.88
2018-05-26T00:00:00-07:00,00:05:00,101163,59.13,16,2.0,15,0.03,2.14,0.57,33.76
2018-05-26T00:00:00-07:00,00:05:00,101162,52.0,5,0.33,15,0.32,2.43,0.2,10.55
2018-05-26T00:00:00-07:00,00:05:00,101161,71.6,5,0.27,15,-0.14,0.7,0.06,4.18
2018-05-26T00:00:00-07:00,00:05:00,101160,66.08,24,2.67,15,-0.08,0.76,0.3,20.04
2018-05-26T00:00:00-07:00,00:05:00,101158,63.5,24,1.67,15,-0.03,0.43,0.17,11.04
2018-05-26T00:00:00-07:00,00:05:00,101157,59.41,61,5.67,15,0.0,0.46,0.47,28.06
