starttime,detector_id,speed
2018-05-05 00:00:00-07,100890,59.07
2018-05-05 00:00:00-07,100891,57.33
2018-05-05 00:00:00-07,100892,64.31
2018-05-05 00:00:00-07,100893,56.65
2018-05-05 00:00:00-07,100894,49.36
2018-05-05 00:00:00-07,100895,46.38
2018-05-05 00:00:00-07,100897,53.71
2018-05-05 00:00:00-07,100898,59.11
2018-05-05 00:00:00-07,100899,62.38
2018-05-05 00:00:00-07,100900,61.93
2018-05-05 00:00:00-07,100901,60.1
2018-05-05 00:00:00-07,100902,62.08
2018-05-05 00:00:00-07,100903,53.84
2018-05-05 00:00:00-07,101137,54.97
2018-05-05 00:00:00-07,101138,56.37
2018-05-05 00:00:00-07,101139,59.15
2018-05-05 00:00:00-07,101140,55.41
2018-05-05 00:00:00-07,101141,58.23
2018-05-05 00:00:00-07,101142,62.81
2018-05-05 00:00:00-07,101143,58.29
2018-05-05 00:00:00-07,101144,59.09
2018-05-05 00:00:00-07,101145,63.3
2018-05-05 00:00:00-07,101150,58.93
2018-05-05 00:00:00-07,101151,61.55
2018-05-05 00:00:00-07,101152,65.12
2018-05-05 00:00:00-07,101153,62.1
2018-05-05 00:00:00-07,101154,62.02
2018-05-05 00:00:00-07,101155,65.65
2018-05-05 00:00:00-07,101156,59.21
2018-05-05 00:00:00-07,101157,58.34
2018-05-05 00:00:00-07,101158,61.08
2018-05-05 00:00:00-07,101160,66.13
2018-05-05 00:00:00-07,101161,65.33
2018-05-05 00:00:00-07,101162,59
2018-05-05 00:00:00-07,101163,57.85
2018-05-05 00:00:00-07,101164,59.88
2018-05-05 00:00:00-07,101165,60.83
2018-05-05 00:00:00-07,101166,61.78
2018-05-05 00:00:00-07,101167,66.91
2018-05-05 00:00:00-07,101168,64.36
2018-05-05 00:00:00-07,101169,65.4
2018-05-05 00:00:00-07,101170,70
2018-05-05 00:00:00-07,101171,61.85
2018-05-05 00:00:00-07,101172,62.97
2018-05-05 00:00:00-07,101173,67.08
2018-05-05 00:00:00-07,101174,67
2018-05-05 00:00:00-07,101175,66.09
2018-05-05 00:00:00-07,101176,68.56
2018-05-05 00:00:00-07,101177,66.3
2018-05-05 00:00:00-07,101178,69.83
2018-05-05 00:00:00-07,101179,73
2018-05-05 00:00:00-07,101180,63.6
2018-05-05 00:00:00-07,101181,63.96
2018-05-05 00:00:00-07,101182,70.33
2018-05-05 00:00:00-07,101183,68
2018-05-05 00:00:00-07,101184,69.88
2018-05-05 00:00:00-07,101185,
2018-05-05 00:00:00-07,101186,61.67
2018-05-05 00:00:00-07,101187,63
2018-05-05 00:05:00-07,100890,55.85
2018-05-05 00:05:00-07,100891,56.5
2018-05-05 00:05:00-07,100892,64.72
2018-05-05 00:05:00-07,100893,59.1
2018-05-05 00:05:00-07,100894,54.62
2018-05-05 00:05:00-07,100895,46.97
2018-05-05 00:05:00-07,100897,56.24
2018-05-05 00:05:00-07,100898,60.18
